timestamp,theta_neck
16:05:25.618,0.83
16:05:25.932,0.84
16:05:26.246,0.83
16:05:26.560,10.28
16:05:26.874,10.51
16:05:27.188,16.48
16:05:27.502,26.32
16:05:27.816,27.16
16:05:28.130,32.27
16:05:28.444,31.34
16:05:28.758,34.11
16:05:29.072,33.98
16:05:29.386,36.74
16:05:29.700,36.72
16:05:30.014,37.49
16:05:30.328,32.57
16:05:30.642,29.49
16:05:30.956,20.53
16:05:31.270,4.4
16:05:31.584,0.95
16:05:31.898,1.06
16:05:32.212,0.99
16:05:32.526,0.93
16:05:32.840,0.92
16:05:33.154,0.93
16:05:33.468,1.08
16:05:33.782,1.06
16:05:34.096,1.05
16:05:34.410,0.55
16:05:34.724,0.74
16:05:35.038,0.7
16:05:35.352,0.67
16:05:35.666,0.52
16:05:35.980,0.55
16:05:36.294,0.66
16:05:36.608,0.66
16:05:36.922,0.69
16:05:37.236,14.12
16:05:37.550,6.23
16:05:37.864,0.7
16:05:38.178,0.75
16:05:38.492,0.05
16:05:38.806,0.31
16:05:39.120,0.4
16:05:39.434,0.43
16:05:39.748,0.83
16:05:40.062,6.76
16:05:40.376,0.85
16:05:40.690,10.24
16:05:41.004,6.56
16:05:41.318,5.02
16:05:41.632,8.4
16:05:41.946,8.95
16:05:42.260,10.21
16:05:42.574,7.74
16:05:42.888,8.55
16:05:43.202,11.29
16:05:43.516,4.5
16:05:43.830,6.93
16:05:44.144,6.89
16:05:44.458,5.26
16:05:44.772,9.13
16:05:45.086,3.41
16:05:45.400,14.27
16:05:45.714,7.92
16:05:46.028,2.36
16:05:46.342,6.65
16:05:46.656,4.87
16:05:46.970,5.72
16:05:47.284,6.3
16:05:47.598,9.46
16:05:47.912,11.83
16:05:48.226,10.88
16:05:48.540,16.82
16:05:48.854,56.56
16:05:49.168,36.39
16:05:49.482,23.71
16:05:49.796,34.05
16:05:50.110,34.79
16:05:50.424,33.18
16:05:50.738,37.34
16:05:51.052,33.8
16:05:51.366,35.72
16:05:51.680,31.88
16:05:51.994,25.36
16:05:52.308,14.59
16:05:52.622,11.84
16:05:52.936,21.32
16:05:53.250,22.22
16:05:53.564,26.89
16:05:53.878,20.04
16:05:54.192,21.1
16:05:54.506,31.68
16:05:54.820,22.82
16:05:55.134,23.88
16:05:55.448,24.92
16:05:55.762,24.12
16:05:56.076,23.71
16:05:56.390,28.37
16:05:56.704,30.52
16:05:57.018,32.16
16:05:57.332,31.57
16:05:57.646,33.91
16:05:57.960,33.91
16:05:58.274,29.15
16:05:58.588,20.17
16:05:58.902,14.17
16:05:59.216,16.63
16:05:59.530,26.56
16:05:59.844,33.81
16:06:00.158,33.21
16:06:00.472,36.81
16:06:00.786,33.19
16:06:01.100,38.96
16:06:01.414,38.48
16:06:01.728,35.0
16:06:02.042,37.85
16:06:02.356,26.61
16:06:02.670,16.26
16:06:02.984,4.79
16:06:03.298,3.76
16:06:03.612,9.2
16:06:03.926,7.35
16:06:04.240,5.64
16:06:04.554,5.48
16:06:04.868,3.61
16:06:05.182,4.72
16:06:05.496,1.44
16:06:05.810,0.76
16:06:06.124,0.75
16:06:06.438,0.69
16:06:06.752,0.67
16:06:07.066,0.66
16:06:07.380,4.35
16:06:07.694,23.52
16:06:08.008,25.97
16:06:08.322,26.95
16:06:08.636,40.63
16:06:08.950,39.68
16:06:09.264,38.95
16:06:09.578,40.86
16:06:09.892,36.53
16:06:10.206,39.66
16:06:10.520,40.86
16:06:10.834,33.84
16:06:11.148,38.22
16:06:11.462,42.76
16:06:11.776,39.18
16:06:12.090,38.21
16:06:12.404,36.74
16:06:12.718,35.87
16:06:13.032,39.42
16:06:13.346,36.3
16:06:13.660,34.87
16:06:13.974,37.75
16:06:14.288,24.1
16:06:14.602,0.86
16:06:14.916,0.97
16:06:15.230,0.92
16:06:15.544,0.88
16:06:15.858,0.9
16:06:16.172,0.9
